Central,Llave,Coordinado,Grupo reporte,Tipo,Subtipo,Fecha,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23,Hora 24,Hora 25,Total
PMGD PFV PARQUE SOLAR MECO CHILLAN,MECO CHILLAN,PARQUE SOLAR MECO CHILLAN SPA,PMGD PFV Meco Chillan,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.079059013,1.839691651,4.145091003,4.567519898,4.500287598,4.375048828,4.376622803,4.415031128,4.496642334,3.729088623,1.158507141,0.0302194243,0,0,0,0,0,,37.71280944
PMGD PFV PARQUE SOLAR MEMBRILLO,Membrillo,FOTOVOLTAICA AVELLANO SPA,PMGD PFV Membrillo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0394935835,0.833280304,1.475654602,1.54389624,1.519130493,1.504092255,1.50798346,1.555637146,1.41908664,0.8877725068,0.1795202665,0.0015759935,0,0,0,0,0,,12.46712349
PMGD PFV PARQUE SOLAR NANCAGUA [En_Revision],PMGD PFV NANCAGUA,PARQUE SOLAR LA MURALLA II SPA [En_Revision],PMGD PFV Parque Nancagua,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3100751946,2.74251297,4.758479858,4.862948486,4.797441406,4.806035278,4.854321045,5.056114746,4.919285767,3.615394836,0.8175762291,0.0075006428,0,0,0,0,0,,41.54768646
PMGD PFV PARQUE SOLAR OVALLE NORTE,OVALLE NORTE,PARQUE SOLAR OVALLE NORTE SPA,PMGD PFV Ovalle Norte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0788356581,0.9803522796,1.123544968,1.650916245,2.928399841,2.088828919,3.041568909,1.860509827,1.189472962,0.9490713043,0.211095932,0.0020928514,0,0,0,0,0,,16.10468969
PMGD PFV PARQUE SOLAR RIO PEUCO,PMGD PFV Parque Solar Río Peuco,NUEVA ESPERANZA SOLAR SPA,PMGD PFV Río Peuco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0707192215,0.762750679,1.588786133,1.773993713,1.740898895,1.717535675,1.75154715,1.790444794,1.804378784,1.267152176,0.3249592266,0.000985006,0,0,0,0,0,,14.59415145
PMGD PFV PARQUE SOLAR SAN JAVIER,San Javier,CARBON FREE CHILE SPA,PMGD PFV Parque San Javier,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1264289141,1.391935288,2.894620789,3.343612976,3.15930719,3.11531134,3.18792981,3.28059375,2.798639343,1.352527451,0.4099231834,0.0024758708,0,0,0,0,0,,25.0633059
PMGD PFV PARQUE SOLAR SANTA FE,Santa Fe,CARBON FREE CHILE SPA,PMGD PFV Parque Santa Fe,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1839795047,2.082366409,4.970995911,5.713842896,5.528083008,5.46105249,5.553749756,5.590869141,4.842061218,2.476798828,0.595807724,0.0125247129,0,0,0,0,0,,43.0121316
PMGD PFV PARQUE VALPARAISO,PMG PFV PARQUE VALPARAISO,PARQUE SOLAR LA ROSA SPA,PMGD PFV Parque Valparaiso,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2289732017,2.03379776,4.098001892,4.610162598,4.544496582,4.488348389,4.503383423,4.611708374,4.287174378,2.506057221,0.785169056,0.0079692216,0,0,0,0,0,,36.70524209
PMGD PFV PAS1,PMGD PFV PAS1,POZO ALMONTE SOLAR 1 SPA,PMGD PFV PAS1,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.5155845528,3.422620667,8.013576416,8.021773193,7.930589722,7.962174439,7.905006226,7.97405896,8.082666504,7.638031372,4.287820953,0.0621140678,0,0,0,0,0,,71.81601707
PMGD PFV PASTRAN,PMGD PFV Pastrán,FONTUS PRIME SOLAR SPA,PMGD PFV Pastrán,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0001988825,1.049813186,6.520688599,8.822667481,4.489786499,7.055389404,4.691610229,7.072608032,4.441978149,2.600473938,2.05463002,0.4443211556,0.0072452064,0,0,0,0,0,,49.25141078
PMGD PFV PATRICIA DEL VERANO SOLAR [EN_REVISION],PMGD PFV Patricia Del Verano,POMERAPE SPA [EN_REVISION],PMGD PFV Patricia Del Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PEDREROS SOLAR,Pedreros Solar,CARBON FREE CHILE SPA,PMGD PFV Pedreros,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0817427206,0.9500601578,1.806255829,1.774985107,1.697664185,1.640203583,1.674349671,1.773956574,1.75303244,1.221071869,0.3641078587,0.001754904,0,0,0,0,0,,14.7391849
PMGD PFV PEGASUS SOLAR,PFV PMGD Pegasus Solar,CARBON FREE CHILE SPA,PMGD PFV Pegasus,Solar,Solar,2023-04-20,0,0,0,0.0000001108,0,0,0,0,0.2237037048,1.769705597,1.928900696,1.845136047,1.792840027,1.793985565,1.868161285,1.937540802,1.534323456,0.4176788864,0.0109898933,0,0,0,0,0,,15.12296607
PMGD PFV PELUMPEN SOLAR [EN_REVISION],PMGD PFV Pelumpen,CVE PROYECTO DIECIOCHO SPA [EN_REVISION],PMGD PFV Pelumpen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PEPA SOLAR,PMGD PFV PEPA SOLAR,PMGD PEPA SPA,PMGD PFV Pepa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3395887738,3.443390961,6.396169067,6.656273926,6.423620239,6.335085816,6.443894409,6.708697632,6.731845825,4.054749451,1.229669052,0.010856843,0,0,0,0,0,,54.77384199
PMGD PFV PEQUEN,PMGD PFV Pequen,PEQUEN SPA,PMGD PFV Pequen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0689362282,0.4868792649,1.384778107,1.891532013,1.902720184,1.863681915,1.875246124,1.865014038,1.619332031,1.660332092,0.4748712195,0.0185707933,0,0,0,0,0,,15.11189401
PMGD PFV PERALILLO,PERALILLO,EL QUEULE SPA,PMGD PFV Peralillo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0412967401,0.3221512832,0.9933039856,1.049708069,0.9485792542,0.8160429381,0.9784906159,0.966985199,0.8883704834,0.7139984741,0.1277529477,0.0010698613,0,0,0,0,0,,7.847749852
PMGD PFV PEÑAFLOR SOLAR,PMGD PFV PENAFLOR,CEDARS SOLAR SPA,PMGD PFV Penaflor,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4059393643,3.138479431,6.081540772,6.750018311,6.725067627,6.640442505,6.590031006,6.735548584,6.318879761,4.076985535,0.9897500343,0.0053695698,0,0,0,0,0,,54.4580525
PMGD PFV PICA,PMGD PFV PICA,NUEVA ATACAMA SOLAR S.A.,PMGD PFV Pica,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0.0500199899,0.227015896,0.2784873428,0.3025340043,0.3070961685,0.2982636413,0.2749220199,0.2259851532,0.1042513217,0.0051374464,0.0000212865,0,0,0,0,0,,2.073734271
PMGD PFV PICUNCHE,PMGD PFV Picunche,GR TOLHUACA SPA [No_Mostrar],PMGD PFV Picunche,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PIDUCO [En_Revision],PMGD PFV Piduco,FOTOVOLTAICA PATAGUA SPA [En_Revision],PMGD PFV Piduco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1024709279,1.102403427,1.877142242,1.917381775,1.908316986,1.905902954,1.938268127,1.901549866,1.610242096,1.216765686,0.413198002,0.00447818,0,0,0,0,0,,15.89812027
PMGD PFV PILPILEN,Pilpilen,PILPILÉN SPA,PMGD PFV Pilpilen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0245034459,0.1854147033,0.3155600891,0.3689680176,0.5236533509,0.7986523742,0.7164256438,0.943610504,1.135516144,0.7925756989,0.0747544204,0.0016478703,0,0,0,0,0,,5.881282262
PMGD PFV PIQUERO,PMGD PFV Piquero,PIQUERO SpA,PMGD PFV Piquero,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2314672064,2.576568573,6.950850464,7.995849976,7.741572998,7.53348877,7.740827515,7.951368897,7.731081055,6.294136108,1.537159615,0.0294134795,0,0,0,0,0,,64.31378465
PMGD PFV PIRQUE,Pirque,SOLAR TI CUATRO SPA,PMGD PFV Pirque,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1636874881,1.136742539,1.721225006,1.69144577,1.597240875,1.572265137,1.662218506,1.705074799,1.720282471,1.306130829,0.357949163,0.0015371792,0,0,0,0,0,,14.63579976
PMGD PFV PITOTOY,Pitotoy,CARBON FREE CHILE SPA,PMGD PFV Pitotoy,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0983217828,0.9613783112,1.581548676,1.61401416,1.594650147,1.614344666,1.653571014,1.713980835,1.564656738,1.183391235,0.2803288021,0.0013321506,0,0,0,0,0,,13.86151852
PMGD PFV PITRA,PFV PITRA,PITRA SPA,PMGD PFV Pitra,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0127797386,0.1108112545,0.2145152779,0.4661935119,1.638748169,1.246240707,1.797596069,0.7326558686,1.501822601,0.6346780778,0.3746592446,0.0090134376,0,0,0,0,0,,8.739713959
PMGD PFV PLACILLA SOLAR,Placilla Solar,GR LILEN SPA,PMGD PFV Placilla,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.257590322,2.618634003,4.710670288,5.639096802,5.707177857,5.572093994,5.600160767,5.781729492,5.537033447,3.741695435,0.8699270171,0.0093642912,0,0,0,0,0,,46.04517371
PMGD PFV PLAYERITO,PFV PLAYERITO,PLAYERO SPA,PMGD PFV Playerito,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0732004061,0.835855629,1.856330719,2.218547852,2.132664734,1.49814061,0.6398023147,0.284551117,0.300833931,0.1964544602,0.0635895114,0.000226216,0,0,0,0,0,,10.1001975
PMGD PFV PLAYERON,PMGD PFV Playeron,PLAYERO SPA,PMGD PFV Playeron,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0551406926,0.8243330994,1.841524414,2.199045227,2.111867615,1.445464417,0.6513496475,0.2903854599,0.3127629547,0.1955511551,0.0624939745,0.0001330814,0,0,0,0,0,,9.990051737
PMGD PFV PLOMO DE VERANO [En_Revision],PMGD PFV Plomo Verano,LINZOR DE VERANO SPA [En_Revision],PMGD PFV Plomo Verano,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0997814854,0.7764129486,0.9018884735,0.9010284882,0.9012060853,0.8993200836,0.8985403442,0.8998202361,0.9018315125,0.879993271,0.2710670185,0.0014498199,0,0,0,0,0,,8.332339767
PMGD PFV POBLACION,Población,CARBON FREE CHILE SPA,PMGD PFV Población,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0938704231,0.9452012024,1.598451324,1.573318054,1.510766785,1.465243958,1.497228333,1.58558313,1.532906555,1.32637825,0.3301515894,0.0007728015,0,0,0,0,0,,13.4598724
PMGD PFV PORTEZUELO,PORTEZUELO,PV PORTEZUELO SPA,PMGD PFV Portezuelo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0508388092,0.2336274929,1.362354828,1.37021344,0.9831102447,1.313699127,1.849964783,1.638814514,0.8433882751,0.5289766312,0.1713557124,0.0005326082,0,0,0,0,0,,10.34687647
PMGD PFV PRETTY FIELD,PMGD PFV PRETTY FIELD,CAMPO LINDO SPA,PMGD PFV Pretty Field,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0379746242,0.1473515606,0.2708605117,0.7911570969,1.050302826,1.019378052,1.491075958,1.054644837,0.7313511048,0.5672507783,0.1053374396,0.0008712707,0,0,0,0,0,,7.267556059
PMGD PFV PSF CHAMPA [EN_REVISION],PMGD PFV Champa,ENERGIA RENOVABLE CHAMPA SPA [EN_REVISION],PMGD PFV Champa,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2325361432,1.388608994,1.690547516,1.683102844,1.668193024,1.659844635,1.666025421,1.678998108,1.685007752,1.604752564,0.595284647,0.0018736548,0,0,0,0,0,,15.5547753
PMGD PFV PSF HORIZONTE,PMGD PFV PSF Horizonte,PSF PAINE SPA,PMGD PFV PSF Horizonte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2902720892,2.156054474,3.745518189,3.703525696,3.62887915,3.593230957,3.689976074,3.862669067,3.982149048,2.499342011,0.6223380261,0.0030034609,0,0,0,0,0,,31.77695824
PMGD PFV PSF LA GAMBOINA,PMGD PFV La Gamboina,PSF LA GAMBOINA SPA,PMGD PFV La Gamboina,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV PSF PUANGUE,PMGD PFV Puangue,PSF PUANGUE SPA,PMGD PFV Puangue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1257439075,1.145309433,2.328716064,2.070917969,2.55948465,3.035231262,3.020359375,3.114412659,2.695112915,1.717095123,0.3304465486,0.0045601635,0,0,0,0,0,,22.14739007
PMGD PFV PUELCHE SOLAR,PMGD PFV Puelche,EMOAC SPA,PMGD PFV Puelche,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0163153101,0.1381854706,0.1579539089,0.3617807847,1.336956055,1.613060944,1.695316956,1.758238525,1.783659241,1.377841171,0.3256898698,0.0045855381,0,0,0,0,0,,10.56958377
PMGD PFV PUENTE SOLAR,Puente Solar,PMGD PUENTE SPA,PMGD PFV Puente Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0875849505,0.857328064,1.599795868,1.691928009,1.664896851,1.62598938,1.639531982,1.704679901,1.62365744,1.178403503,0.2863280078,0.0022675686,0,0,0,0,0,,13.96239153
PMGD PFV PULLALLI SOLAR,Pullalli,FOTOVOLTAICA LA LIGUA SPA,PMGD PFV Pullalli,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0259567768,0.1291503791,0.6761946297,1.556053589,1.74895871,1.589387604,1.592299927,1.820040344,1.474961914,0.3621167603,0.0984610758,0.0011110622,0,0,0,0,0,,11.07469277
PMGD PFV PUNTA BAJA SOLAR,Punta Baja Solar,PARQUE SOLAR SPA,PMGD PFV Punta Baja,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.079240972,0.8318233948,1.307251343,1.32971405,0.9054944763,1.157616715,0.7220360566,0.8156250763,0.736015625,0.6207824249,0.1404564905,0.0088491667,0,0,0,0,0,,8.654905791
PMGD PFV QUELTEHUE SOLAR,Queltehue Solar,CARBON FREE CHILE SPA,PMGD PFV Queltehue,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0880893746,0.8537364807,1.388030945,1.412314636,1.384892761,1.393732117,1.430219757,1.482923554,1.344068176,1.006881439,0.2260812497,0.000920915,0,0,0,0,0,,12.0118914
PMGD PFV QUETENA,PMGD PFV QUETENA,PARQUE SOLAR QUETENA S.A.,PMGD PFV Quetena,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0075210085,1.135707378,4.692324341,6.898306885,6.890436646,6.929364502,7.008057495,6.973931885,7.022596069,7.027736694,5.12620398,1.585837387,0.0262225599,0,0,0,0,0,,61.32424683
PMGD PFV QUILLAY,Quillay,QUILLAY SOLAR SPA,PMGD PFV Quillay,Solar,Solar,2023-04-20,0,0,0,0,0,0,0.0000917249,0.0965376423,0.5089289627,0.7876788787,1.108973404,1.333022217,1.353823029,1.31541275,1.109139786,0.9264489594,0.4725998764,0.0796408047,0,0,0,0,0,0,,9.092298034
PMGD PFV QUINANTU SOLAR,PMGD PFV Quinantu Solar,TALTAL SOLAR S.A.,PMGD PFV Quinantu,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2577377067,2.93517865,5.628008545,5.796619751,5.585555664,5.431879761,5.610002686,5.698235962,4.728431091,2.903554627,1.002708614,0.0083122931,0,0,0,0,0,,45.58622535
PMGD PFV QUINTA SOLAR,La Quinta Solar SpA,QUINTA SOLAR SPA,PMGD PFV Quinta,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1121139398,1.263806473,2.039918762,2.046066132,1.956745117,1.943115051,1.995326202,2.038594635,1.90371695,1.417763916,0.3822645694,0.0006585569,0,0,0,0,0,,17.1000903
PMGD PFV RANGUIL,PV Ranguil,CARBON FREE CHILE SPA,PMGD PFV Ranguil,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0082708575,0.1062426985,0.353653347,1.069230744,0.7525680847,1.148075348,1.405782654,1.354411224,1.341989685,1.104074356,0.1667789016,0,0,0,0,0,0,,8.8110779
PMGD PFV RATULEMUS,PMGD PFV Ratulemus,GPG GENERACIÓN DISTRIBUIDA SPA,PMGD PFV Ratulemus,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0634073315,0.8447979431,1.828877533,2.037858765,1.966857361,1.954461029,1.987217896,0.7627594681,0.2868145142,0.1391549434,0.0489847231,0.0000520894,0,0,0,0,0,,11.9212436
PMGD PFV RAUQUEN,Rauquén,CARBON FREE CHILE SPA,PMGD PFV Rauquen,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2153477403,2.409553467,4.791312256,4.810149414,4.226244385,2.648960877,2.331783875,2.368509522,1.301232758,0.7124338989,0.1839203148,0.0015844914,0,0,0,0,0,,26.001033
PMGD PFV RDCL SAN,PMGD PFV RDCL SAN,SAN ALFONSO SOLAR SPA,PMGD PFV RDCL SAN,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0613344874,0.5261819458,1.446436935,5.703724365,5.788639038,5.854620483,5.873837891,5.943690063,5.712049805,2.868306549,0.4383422279,0.0044008989,0,0,0,0,0,,40.22156469
PMGD PFV RECOLETA [En_Revision],PMGD PFV Recoleta,DIEGO DE ALMAGRO SOLAR 3 S.A. [En_Revision],PMGD PFV Recoleta,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.494000964,3.962852539,5.407549927,3.938447693,4.501182373,3.457382324,4.5924422,3.400441345,2.187635742,1.285408859,0.3342062264,0.0015492399,0,0,0,0,0,,33.56309943
PMGD PFV REXNER,PMGD PFV Rexner,ENERGÍA FIRST SPA,PMGD PFV Rexner,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0408356843,0.6902447815,1.517345062,2.005708985,2.02612915,2.019785889,2.063675232,2.09899585,1.770023132,1.011819382,0.3379975089,0.0036728714,0,0,0,0,0,,15.58623353
PMGD PFV RINCONADA,Rinconada,GR TAMARUGO SPA,PMGD PFV Rinconada,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2285521736,3.218289368,5.663001953,5.602540405,5.334273193,5.315587647,5.346401245,5.514040527,5.010295898,3.925953186,1.078270161,0.0047456651,0,0,0,0,0,,46.24195142
PMGD PFV RINCONADA ALCONES [En_Revision],PMGD PFV Rinconada Alcones,FOTOVOLTAICA RAULI SPA [En_Revision],PMGD PFV Rinconada Alcones,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.6228801849,5.128514832,7.388667236,7.579249634,7.295218018,7.22360144,7.282515625,6.457575439,4.646720825,4.846178711,1.177964676,0.0148997161,0,0,0,0,0,,59.66398634
PMGD PFV RINCONADA NORTE (SLK 808),SLK 808,FV RINCONADA SPA,PMGD PFV Rinconada Norte,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0488224563,1.272077484,2.400713989,2.426638428,2.331327942,2.293216065,2.321747315,2.414449951,2.393861633,1.689538696,0.5846970348,0.0048347186,0,0,0,0,0,,20.18192571
PMGD PFV RLA SOLAR,RLA Solar,RLA SOLAR SPA,PMGD PFV RLA,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.00883396,0.1335918961,0.4509841232,0.9605296326,0.7133094635,0.8334415742,1.36166333,1.420443665,1.200742676,0.5884704819,0.0756448468,0,0,0,0,0,0,,7.747655649
PMGD PFV RODEO,Rodeo,PV RODEO SPA,PMGD PFV Rodeo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0287936505,0.914142807,1.691525086,1.764652527,1.734236298,1.687313782,1.702356659,1.725853394,1.600668213,1.03989978,0.2825713978,0.0027849846,0,0,0,0,0,,14.17479858
PMGD PFV ROSARIO [EN_REVISION],PMGD PFV Rosario,GR PUMALIN SPA [EN_REVISION],PMGD PFV Rosario,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
PMGD PFV ROVIAN,Rovián,PV ROVIAN SPA,PMGD PFV Rovián,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.2940558177,2.759453705,4.718594116,4.884500488,4.826321533,4.859428467,4.89624353,5.103756836,5.045339477,3.774081482,0.8781113892,0.0074703574,0,0,0,0,0,,42.0473572
PMGD PFV SALERNO SOLAR,PMGD PFV Salerno Solar,PMGD SALERNO SPA,PMGD PFV Salerno Solar,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4630481491,1.318185425,0.6102790183,0.0996590438,0.001151523,0,0,0,0,0,,2.492323159
PMGD PFV SAMO BAJO,PMGD PFV SAMO BAJO,SAMO BAJO SPA,PMGD PFV SAMO BAJO,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1496398197,1.325448731,1.282458771,0.7914987335,1.240390808,1.040849747,1.418960236,1.018871674,0.6349953613,0.358878212,0.1072137623,0.0012691975,0,0,0,0,0,,9.370475052
PMGD PFV SAN ANTONIO,PMGD PFV San Antonio,CUENCA SOLAR SPA,PMGD PFV San Antonio,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.3245018558,2.550432739,4.812144165,5.437532471,5.098801453,6.114923462,6.392642334,6.34991626,4.997549561,2.72096167,0.619808487,0.0070040364,0,0,0,0,0,,45.42621849
PMGD PFV SAN CAMILO,PFV PMGD San Camilo,ENEL GREEN POWER CHILE S.A.,PMGD PFV San Camilo,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1416072992,1.322012909,1.833595673,1.907534515,1.856510864,1.81572522,1.848482574,1.839255096,1.662118713,1.480458649,0.4557225342,0.0056348367,0,0,0,0,0,,16.16865888
PMGD PFV SAN CARLOS SOLAR,PMGD PFV San Carlos,TOESCA RENOVABLES SPA,PMGD PFV San Carlos,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0429416963,0.7125179138,1.650218292,1.717735748,1.668227051,1.65002655,1.699489868,1.810098663,1.853187195,0.9320910874,0.1812649813,0.0066443868,0,0,0,0,0,,13.92444343
PMGD PFV SAN EMILIO SOLAR I,PMGD PFV San Emilio Solar 1,TOESCA RENOVABLES SPA,PMGD PFV San Emilio I,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1012106407,0.960252533,1.690576538,1.688597076,1.649790649,1.61845108,1.657568268,1.597094666,1.507480408,1.065447861,0.2492295065,0.002329334,0,0,0,0,0,,13.78802856
PMGD PFV SAN FRANCISCO,PMGD PFV SAN FRANCISCO,SAN FRANCISCO SOLAR SPA,PMGD PFV San Francisco,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1231028293,1.235580658,1.986402222,1.982831543,1.884120789,1.481769035,1.925009064,1.949900848,1.842550171,1.351133148,0.3725183391,0.0010004704,0,0,0,0,0,,16.13591912
PMGD PFV SAN ISIDRO,Solar San Isidro,FOTOVOLTAICA SAN ISIDRO SPA,PMGD PFV San Isidro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0746991565,0.7718783494,1.421066467,1.422897186,1.353575562,1.321100678,1.348765625,1.416634979,1.34377359,0.8937691192,0.2370548219,0.0011250554,0,0,0,0,0,,11.60634059
PMGD PFV SAN JOSE II,PMGD PFV San José II,IMPULSO SOLAR SAN JOSE SPA II,PMGD PFV San José II,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0747973319,1.173710892,2.116905487,2.179389954,2.096652405,2.080918762,2.140424866,2.25948645,2.377858948,1.519049683,0.3765871467,0.0098009745,0,0,0,0,0,,18.4055829
PMGD PFV SAN PEDRO,Solar San Pedro,IEH SOLAR CHILE SPA,PMGD PFV San Pedro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0159560533,0.1747290822,0.7027181473,0.9323489074,0.7292550508,0.9615225677,2.164612183,2.219633667,0.8902928466,0.5603181,0.0951139406,0.0003230347,0,0,0,0,0,,9.44682358
PMGD PFV SAN RAMIRO,San Ramiro,PELEQUÉN SUR SPA,PMGD PFV San Ramiro,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0657297897,0.5408077927,1.126044022,2.749538879,3.851425476,4.079211731,5.259812866,5.3790271,5.135029785,2.747063232,0.3211573944,0.0166040512,0,0,0,0,0,,31.27145212
PMGD PFV SANTA ADRIANA,Solar Santa Adriana,PARQUE FOTOVOLTAICO SANTA ADRIANA SPA,PMGD PFV Santa Adriana,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0820629897,1.055663681,1.773875122,1.858013275,1.835977325,1.79268689,1.815052246,1.880000275,1.852204041,1.298867523,0.3324112158,0,0,0,0,0,0,,15.57681458
PMGD PFV SANTA AMELIA,SANTA AMELIA,BETEL SPA,PMGD PFV Santa Amelia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1175816675,1.128196228,1.80746579,1.910024048,1.930870911,1.998038818,2.064188934,2.145210815,2.088349121,1.590358368,0.3585207929,0.0025894887,0,0,0,0,0,,17.14139498
PMGD PFV SANTA CECILIA,SANTA CECILIA (EX - AVENIR),COMMONPLACE ENERGY SPA,PMGD PFV Santa Cecilia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.1438653837,0.8052444764,1.231756531,1.276004761,1.142803833,1.069838898,1.025977921,0.9051523438,0.8927493134,0.542887619,0.1065761123,0.0013746015,0,0,0,0,0,,9.144231793
PMGD PFV SANTA CLARA,Santa Clara,IMPULSO SOLAR LAS LLOYSAS SPA,PMGD PFV Santa Clara,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.0321436552,0.177174593,0.2880618134,0.9408568191,1.215722534,1.168014679,1.705621155,0.4936347503,0.0245406132,0.5236087036,0.1287719078,0.002564085,0,0,0,0,0,,6.700715309
PMGD PFV SANTA ELIZABETH,PMGD PFV Santa Elizabeth,PSF SANTA ISABEL SPA,PMGD PFV Santa Elizabeth,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.439834847,3.949439514,6.757915527,6.889262451,6.725328125,6.624620972,6.71231958,6.863090454,6.228127075,4.318685242,1.254605881,0.0082061033,0,0,0,0,0,,56.77143577
PMGD PFV SANTA EMILIA,PMGD PFV Santa Emilia,GR PATAGONIA SPA,PMGD PFV Santa Emilia,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.4915557685,4.041017822,5.62868335,5.556299561,5.285805176,5.087373901,5.097473877,5.274517822,5.113728394,3.567377563,1.020178881,0.0039486923,0,0,0,0,0,,46.16796081
PMGD PFV SANTA ESTER,Santa Ester,TOESCA RENOVABLES SPA,PMGD PFV Santa Ester,Solar,Solar,2023-04-20,0,0,0,0,0,0,0,0.062761818,0.9308915711,1.749863129,1.801819,1.757391876,1.74586499,1.799673584,1.893781372,1.982360779,1.150916733,0.2712804108,0.0059303695,0,0,0,0,0,,15.15253563
